HosNum1,HosNum2,Distance
CB006,CB116,176.1423917
CB006,CB117,146.9678808
CB006,CB118,339.8660109
CB006,CB119,228.3107804
CB006,CB120,122.9617909
CB006,CB121,204.7802195
CB007,CB001,102.9175165
CB007,CB002,107.6180678
CB007,CB003,16.26779921
CB007,CB004,38.66416771
CB007,CB005,40.97081587
CB007,CB006,49.45664607
CB007,CB007,0
CB007,CB008,187.2147999
CB007,CB009,96.99277084
CB007,CB010,97.54692751
CB007,CB011,358.4824434
CB007,CB012,86.81965423
CB007,CB013,17.54304313
CB007,CB014,46.19453174
CB007,CB015,99.66482479
CB007,CB016,65.24382923
CB007,CB017,26.22713838
CB007,CB018,60.14505819
CB007,CB019,47.92041839
CB007,CB020,99.28395464
CB007,CB021,54.28738278
CB007,CB022,138.7316954
CB007,CB023,157.5274998
CB007,CB024,168.0689737
CB007,CB025,180.3628627
CB007,CB026,237.700492
CB007,CB027,200.8957558
CB007,CB028,217.7794842
CB007,CB029,201.2557247
CB007,CB030,204.4743007
CB007,CB031,248.6860207
CB007,CB032,262.7495044
CB007,CB033,286.1659357
CB007,CB034,370.9350079
CB007,CB035,368.8680457
CB007,CB036,321.2217776
CB007,CB037,361.5203133
CB007,CB038,332.2696104
CB007,CB039,287.3511762
CB007,CB040,194.3843425
CB007,CB041,83.87944888
CB007,CB042,263.5964447
CB007,CB043,290.6138218
CB007,CB044,403.9598309
CB007,CB045,380.1154934
CB007,CB046,233.2455836
CB007,CB047,265.7421359
CB007,CB048,121.1420292
CB007,CB049,219.2805684
CB007,CB050,316.3022036
CB007,CB051,337.261357
CB007,CB052,300.535272
CB007,CB053,241.7127905
CB007,CB054,334.3563547
CB007,CB055,205.9824217
CB007,CB056,276.1848726
CB007,CB057,203.7573659
CB007,CB058,180.5089835
CB007,CB059,286.7215453
CB007,CB060,258.9317724
CB007,CB061,277.4201199
CB007,CB062,236.5965431
CB007,CB063,304.6671539
CB007,CB064,289.3851158
CB007,CB065,284.4275265
CB007,CB066,251.7371915
CB007,CB067,256.1949618
CB007,CB068,198.3081433
CB007,CB069,243.564678
CB007,CB070,173.6161609
CB007,CB071,175.6709115
CB007,CB072,235.3836746
