ID1,Affinal_ID,Affinal_r
6002221,6002187,"[0,0.125)   "
6002221,6002060,"[0,0.125)   "
6002221,6002062,"[0,0.125)   "
6002221,6002064,"[0,0.125)   "
6002221,6002361,"[0,0.125)   "
6002222,6002121,"[0,0.125)   "
6002222,6002187,"[0,0.125)   "
6002222,6002060,"[0,0.125)   "
6002222,6002062,"[0,0.125)   "
6002222,6002064,"[0,0.125)   "
6002222,6002361,"[0,0.125)   "
6002234,6002251,"[0,0.125)   "
6002234,6002314,"[0,0.125)   "
6002235,6002251,"[0,0.125)   "
6002235,6002314,"[0,0.125)   "
6002255,6002232,"[0,0.125)   "
6002256,6002232,"[0,0.125)   "
6002270,6002387,"[0,0.125)   "
6002270,6002002,"[0,0.125)   "
6002270,6002476,"[0,0.125)   "
6002271,6002387,"[0,0.125)   "
6002271,6002002,"[0,0.125)   "
6002271,6002476,"[0,0.125)   "
6002275,6002437,"[0,0.125)   "
6002275,6002110,"[0,0.125)   "
6002276,6002437,"[0,0.125)   "
6002276,6002110,"[0,0.125)   "
6002285,6002841,"[0,0.125)   "
6002285,6002343,"[0,0.125)   "
6002285,6002370,"[0,0.125)   "
6002286,6002841,"[0,0.125)   "
6002286,6002343,"[0,0.125)   "
6002286,6002370,"[0,0.125)   "
6002306,6002511,"[0,0.125)   "
6002307,6002511,"[0,0.125)   "
6002316,6002511,"[0,0.125)   "
6002318,6002339,"[0,0.125)   "
6002318,6002511,"[0,0.125)   "
6002318,6003072,"[0,0.125)   "
6002319,6002339,"[0,0.125)   "
6002319,6002511,"[0,0.125)   "
6002319,6003072,"[0,0.125)   "
6002323,6002339,"[0,0.125)   "
6002333,6002511,"[0,0.125)   "
6002333,6002548,"[0,0.125)   "
6002334,6002511,"[0,0.125)   "
6002334,6002548,"[0,0.125)   "
6002335,6002511,"[0,0.125)   "
6002335,6002548,"[0,0.125)   "
6002338,6002511,"[0,0.125)   "
6002338,6002548,"[0,0.125)   "
6002342,6002437,"[0,0.125)   "
6002342,6002110,"[0,0.125)   "
6002344,6002437,"[0,0.125)   "
6002344,6002787,"[0,0.125)   "
6002344,6002110,"[0,0.125)   "
6002344,6002841,"[0,0.125)   "
6002344,6002284,"[0,0.125)   "
6002345,6002437,"[0,0.125)   "
6002345,6002787,"[0,0.125)   "
6002345,6002110,"[0,0.125)   "
6002345,6002841,"[0,0.125)   "
6002345,6002284,"[0,0.125)   "
6002360,6002009,"[0,0.125)   "
6002362,6002009,"[0,0.125)   "
6002362,6002007,"[0,0.125)   "
6002362,6002100,"[0,0.125)   "
6002362,6002220,"[0,0.125)   "
6002362,6002244,"[0,0.125)   "
6002362,6002438,"[0,0.125)   "
6002363,6002009,"[0,0.125)   "
6002363,6002007,"[0,0.125)   "
6002363,6002100,"[0,0.125)   "
6002363,6002220,"[0,0.125)   "
6002363,6002244,"[0,0.125)   "
6002363,6002438,"[0,0.125)   "
6002364,6002511,"[0,0.125)   "
6002366,6002339,"[0,0.125)   "
6002366,6002511,"[0,0.125)   "
6002366,6003072,"[0,0.125)   "
6002367,6002339,"[0,0.125)   "
6002367,6002511,"[0,0.125)   "
6002367,6003072,"[0,0.125)   "
6002368,6002339,"[0,0.125)   "
6002368,6002511,"[0,0.125)   "
6002368,6003072,"[0,0.125)   "
6002369,6002437,"[0,0.125)   "
6002369,6002110,"[0,0.125)   "
6002371,6002437,"[0,0.125)   "
6002371,6002787,"[0,0.125)   "
6002371,6002110,"[0,0.125)   "
6002371,6002841,"[0,0.125)   "
6002371,6002284,"[0,0.125)   "
6002372,6002437,"[0,0.125)   "
6002372,6002787,"[0,0.125)   "
6002372,6002110,"[0,0.125)   "
6002372,6002841,"[0,0.125)   "
6002372,6002284,"[0,0.125)   "
6002375,6002157,"[0,0.125)   "
6002375,6002493,"[0,0.125)   "
6002376,6002157,"[0,0.125)   "
6002376,6002493,"[0,0.125)   "
6002380,6002030,"[0,0.125)   "
